timestamp,service,cpu,memory,response_time,requests,error_rate,latency
23:00:45,inventory,36,59,766,447,2,94
23:00:47,user,74,46,93,331,2,71
23:00:49,inventory,45,86,754,499,1,15
23:00:51,inventory,81,70,463,129,0,63
23:00:53,payment,85,61,200,205,0,36
23:00:55,inventory,60,31,351,220,3,81
23:00:57,inventory,78,47,341,298,3,33
23:00:59,payment,34,44,586,222,0,118
23:01:01,inventory,74,53,425,275,0,141
23:01:03,user,38,72,118,191,0,73
23:01:05,inventory,91,72,234,205,1,31
23:01:07,order,56,89,305,480,3,96
23:01:09,order,63,73,569,172,1,12
23:01:11,user,85,60,296,118,0,102
23:01:13,order,84,41,826,191,1,145
23:01:15,user,65,53,797,167,3,64
23:01:17,payment,44,84,456,130,1,83
23:01:19,order,35,42,207,425,3,59
23:01:21,order,80,87,820,346,2,61
23:01:23,payment,44,58,450,177,0,65
23:01:25,inventory,62,77,332,432,2,20
23:01:27,payment,95,51,380,496,0,141
23:01:29,user,39,85,191,169,2,135
23:01:31,user,34,76,647,325,2,92
23:01:33,inventory,24,83,210,400,3,126
23:01:35,payment,82,89,175,363,0,44
23:01:37,payment,72,75,837,306,0,99
23:01:39,order,88,87,113,127,2,77
23:01:41,user,94,70,526,193,1,89
23:01:43,order,37,69,422,129,1,114
23:01:45,payment,68,58,154,278,3,144
23:01:47,inventory,93,34,732,136,1,53
23:01:49,inventory,36,56,891,289,2,133
23:01:51,order,95,85,759,244,3,37
23:01:53,payment,32,48,662,454,0,149
23:01:55,payment,78,41,90,350,0,83
23:01:57,inventory,76,58,410,297,0,39
23:01:59,inventory,75,56,91,463,2,141
23:02:01,payment,94,45,114,486,0,67
23:02:03,payment,20,40,370,406,2,26
23:02:05,user,56,77,794,130,1,139
23:02:07,order,64,50,709,488,0,146
23:03:39,inventory,58,91,639,109,2,59
23:03:41,payment,47,61,730,263,1,76
23:03:43,user,87,75,410,287,3,71
23:03:45,user,89,52,822,263,3,79
23:03:47,inventory,83,92,321,438,1,31
23:03:49,order,65,76,756,434,2,120
23:03:51,payment,24,77,189,477,2,65
23:03:53,payment,65,81,422,122,0,10
23:03:55,inventory,73,55,408,232,3,100
23:03:57,inventory,86,34,699,210,3,20
23:03:59,payment,92,58,626,223,1,30
23:04:01,payment,52,63,757,443,3,81
23:04:03,order,68,90,664,102,0,126
23:04:05,order,32,32,605,350,0,68
23:04:07,order,42,91,419,224,3,26
23:04:09,order,59,34,717,398,2,48
23:04:11,payment,48,70,211,333,0,23
23:04:13,user,44,78,349,290,3,109
23:04:15,inventory,76,85,774,321,1,75
23:04:17,inventory,28,51,458,131,3,94
23:04:19,payment,40,32,488,287,0,77
23:04:21,user,73,61,637,243,3,25
23:04:23,order,31,47,507,384,2,89
23:04:25,order,71,85,91,108,2,144
23:04:27,payment,26,38,776,440,2,83
23:04:29,user,82,82,873,352,1,29
23:04:31,user,20,65,204,293,0,81
23:04:33,user,30,60,820,184,1,21
23:04:35,user,66,53,845,151,1,69
23:04:37,payment,91,71,410,315,2,65
23:04:39,payment,26,62,888,120,3,131
23:04:41,payment,32,43,475,470,3,122
23:04:43,user,76,33,255,223,3,117
23:04:45,payment,92,70,89,244,1,90
23:04:47,inventory,32,43,305,158,1,13
23:04:49,user,58,71,524,248,0,114
23:04:51,payment,58,65,869,178,3,13
23:04:53,inventory,47,67,89,201,1,112
23:04:55,payment,71,33,407,273,0,53
23:04:57,payment,20,94,304,312,0,72
23:04:59,user,89,45,428,174,1,53
23:05:01,user,72,54,449,155,0,72
23:05:03,payment,59,34,536,205,0,138
23:05:05,user,71,49,620,498,1,18
23:05:07,user,43,59,252,246,0,28
23:05:09,order,38,38,849,247,1,89
23:05:11,payment,70,34,491,304,2,54
23:05:13,payment,27,33,429,389,3,141
23:05:15,order,78,76,498,325,1,29
23:05:17,order,52,72,753,233,3,49
23:05:19,user,48,39,340,465,2,42
23:05:21,user,36,74,824,227,0,11
23:05:23,payment,90,69,480,294,0,131
23:05:25,order,90,48,183,106,1,70
23:05:27,order,95,46,104,161,1,132
23:05:29,inventory,77,53,134,248,1,84
23:05:31,inventory,68,53,778,441,1,72
23:05:33,payment,62,87,192,231,3,130
23:05:35,order,94,92,423,303,3,86
23:05:37,inventory,28,92,815,487,1,66
23:05:39,inventory,47,72,113,117,1,101
23:05:41,user,30,39,248,239,0,80
23:05:43,inventory,45,51,827,224,0,107
23:05:45,user,59,56,843,332,1,56
23:05:47,inventory,56,65,288,446,0,125
23:05:49,user,93,53,182,331,1,63
23:05:51,user,80,54,736,226,2,121
23:05:53,payment,53,33,352,146,3,42
23:05:55,inventory,34,85,880,232,2,54
23:05:57,inventory,76,65,701,330,3,52
23:05:59,order,48,45,768,339,2,40
23:06:01,payment,51,84,262,466,2,31
23:06:03,user,61,91,161,365,3,32
23:06:05,inventory,55,39,404,118,2,141
23:06:07,inventory,68,91,751,402,1,41
23:06:09,order,38,80,576,234,0,111
23:06:11,order,71,69,321,459,2,72
23:06:13,inventory,61,49,635,217,1,99
23:20:19,user,87,78,82,107,2,89
23:20:21,order,29,30,699,320,2,21
23:20:23,inventory,62,69,463,405,2,116
23:20:25,user,54,83,502,173,0,68
23:20:27,payment,39,87,375,142,0,88
23:20:29,payment,37,73,550,291,2,60
23:20:31,inventory,64,69,514,399,2,75
23:20:33,order,29,85,547,255,3,12
23:20:35,payment,23,68,749,422,2,134
23:20:37,order,73,92,132,321,2,101
23:20:39,payment,38,41,707,283,1,104
23:20:41,payment,75,40,592,209,3,55
23:20:43,order,25,68,204,319,3,92
23:20:45,inventory,43,41,697,104,2,12
23:20:47,order,32,94,714,225,0,45
23:20:49,payment,35,49,162,430,0,150
23:20:51,order,86,75,812,179,3,87
23:20:53,user,31,63,469,256,0,132
23:20:55,order,30,50,597,343,1,71
23:20:57,inventory,79,74,285,216,3,137
23:20:59,order,85,41,111,492,2,99
23:21:01,order,66,53,319,135,1,143
23:21:03,inventory,89,46,425,434,1,69
23:21:05,user,87,42,319,342,1,139
23:21:07,user,40,85,109,489,3,82
23:21:09,user,76,41,258,425,0,143
23:21:11,order,21,80,357,295,1,76
23:21:13,inventory,81,64,170,453,3,58
23:21:15,payment,68,55,92,122,2,109
23:21:17,payment,31,71,882,340,3,136
23:21:19,user,88,84,708,466,2,132
23:21:21,order,71,71,496,178,0,102
23:21:23,user,79,31,322,400,0,43
23:21:25,user,59,33,257,362,2,114
23:21:27,user,63,33,513,202,0,102
23:21:29,order,60,87,667,277,2,74
23:21:31,user,42,70,207,210,0,136
23:21:33,payment,90,41,287,322,1,122
23:21:35,order,24,40,685,145,0,142
23:21:37,inventory,84,38,397,269,1,90
23:21:39,inventory,95,91,697,255,2,98
23:21:41,user,78,60,626,169,3,20
23:21:43,order,58,46,750,480,1,132
23:21:45,user,89,32,554,459,3,104
23:21:47,inventory,84,41,313,292,1,30
23:21:49,payment,88,70,427,245,2,82
23:21:51,user,45,41,291,184,1,65
23:21:53,user,31,65,774,369,0,105
23:21:55,order,34,86,715,110,1,127
23:21:57,order,66,32,886,354,0,30
23:21:59,payment,32,88,566,133,0,130
23:22:01,inventory,27,79,450,463,1,27
23:22:03,inventory,34,61,519,244,3,108
23:22:05,user,56,62,263,162,1,46
23:22:07,order,64,57,209,439,1,50
23:22:09,inventory,34,56,129,346,3,147
23:22:11,user,31,61,138,227,0,59
